Inside Features: 
ADJP^g->IN,(PP^g->IN*,NP^g|NN) : 1
S^g|VP^g->VBD,(PP^g->IN,NP^g*) : 1
VP^g->@VP^g,(VP^g->VBN*,S^g|VP^g) : 1
S^g->NP^g,(VP^g->VBG,PP^g*) : 1
@S^g->(NP^g->JJ*,NNS),VP^g : 2
@NP^g->(@NP^g->DT*,JJ),JJ : 13
S^g|VP^g->(@VP^g->@VP^g,VBZ*),NP^g : 1
PP^g->IN,(NP^g->@NP^g,NNS*) : 31
VP^g->VBG,(NP^g->NP^g*,NN) : 1
S^g|VP^g->VBZ,(VP^g->@VP^g*,S^g|VP^g) : 1
NP^g->NP^g|NN,(SBAR^g->WHNP^g|WDT*,S^g|VP^g) : 2
S^g|VP^g->TO,(VP^g->@VP^g,NP^g*) : 3
VP^g->(@VP^g->VB,NP^g|NNS*),PP^g : 5
NP^g->NP^g,(VP^g->VBN,S^g|VP^g*) : 1
@NP^g->(NP^g->NP^g,NNS*),, : 1
NP^g->(NP^g->PRP$,NNS*),PP^g : 2
SBAR^g->WHNP^g|WP,(S^g|VP^g->@VP^g*,PP^g) : 1
@S^g->NP^g,(VP^g->VBZ*,S^g|VP^g) : 1
@S^g->(@S^g->PP^g*,,),NP^g|DT : 1
NP^g->(@NP^g->@NP^g,,*),NP^g : 3
VP^g->@VP^g,(S^g->RB*,VP^g) : 1
VP^g->VBN,(PP^g->TO*,NP^g) : 4
S^g->NP^g|PRP,(ADJP^g->JJ*,JJ) : 1
S^g|VP^g->(@VP^g->@VP^g*,,),PP^g : 1
S^g|VP^g->(@VP^g->@VP^g*,NP^g),S^g|VP^g : 1
SBAR^g->WHADVP^g|WRB,(S^g->NP^g*,VP^g) : 5
VP^g->(@VP^g->VBN,NP^g*),PRN^g : 1
@S^g->``,(S^g->@S^g,S^g*) : 1
NX^g->(@NX^g->NNP,NNP*),NN : 1
S^g->(NP^g->NP^g|NNS,ADVP^g|RB*),VP^g|VBP : 1
NP^g->(NP^g->@NP^g*,''),PP^g : 3
VP^g->(@VP^g->VBN*,NP^g),PRN^g : 1
@S^g->(@S^g->ADVP^g|RB*,NP^g),VP^g : 2
NP^g->@NP^g,(NP^g->NP^g,PP^g*) : 13
NP^g->(@NP^g->NP^g,``*),NX^g : 2
NP^g->(@NP^g->DT*,NNP),NNPS : 4
VP^g->(@VP^g->@VP^g*,ADVP^g),ADVP^g|RB : 1
SBAR^g->WHNP^g|WDT,(S^g|VP^g->@VP^g*,NP^g) : 2
@S^g->NP^g,(VP^g->MD,VP^g*) : 7
S^g->PP^g,(PP^g->IN*,NP^g) : 1
@S^g->(@S^g->PP^g*,,),NP^g|CD : 1
PP^g->(@PP^g->ADVP^g|RB*,IN),NP^g : 3
@S^g->(@S^g->CONJP^g*,SINV^g),PRN^g : 1
S^g|VP^g->TO,(VP^g->@VP^g,PP^g*) : 10
PP^g->IN,(S^g|VP^g->VBG,S^g|VP^g*) : 1
@PRN^g->@PRN^g,(NP^g->@NP^g*,NNS) : 1
@S^g->(@S^g->@S^g,S^g|VP^g*),VP^g : 1
PP^g->IN,(NP^g->NP^g*,SBAR^g|S^g) : 1
VP^g->(@VP^g->VBP*,NP^g),PP^g : 5
VP^g->VBP,(NP^g->NP^g|NNS,SBAR^g*) : 1
NP^g->(@NP^g->RB,DT*),NNPS : 1
@S^g->(NP^g->@NP^g*,NNS),ADVP^g|RB : 2
@VP^g->@VP^g,(SBAR^g->IN,S^g*) : 1
VP^g->@VP^g,(PP^g->IN*,NP^g) : 49
@UCP^g->(S^g->@S^g*,VP^g),: : 1
NP^g->@NP^g,(S^g|VP^g->@VP^g*,VP^g) : 1
NP^g->(@NP^g->NP^g*,PP^g),PRN^g : 1
VP^g->@VP^g,(NP^g->NP^g,SBAR^g*) : 2
@VP^g->(@VP^g->@VP^g*,PP^g),SBAR^g : 1
ADJP^g->(ADVP^g->RBR,RB*),JJ : 1
@S^g->``,(NP^g->JJ*,NN) : 1
SBAR^g|S^g|VP^g->TO,(VP^g->VB,NP^g*) : 4
VP^g->VBD,(NP^g->NP^g|NNS*,SBAR^g|S^g|VP^g) : 1
VP^g->(@VP^g->VBZ*,``),ADJP^g : 1
VP^g->VBD,(SBAR^g|S^g->NP^g*,VP^g) : 7
@NP^g->@NP^g,(NP^g->NP^g|NN*,PP^g) : 2
@SQ^g->@SQ^g,(SBAR^g->IN*,S^g) : 1
PP^g->@PP^g,(NP^g->JJ,NN*) : 1
S^g->NP^g,(VP^g->VBZ,NP^g*) : 3
NP^g->(@NP^g->PRP$*,NNP),NNS : 1
@VP^g->@VP^g,(VP^g->VBD,NP^g|CD*) : 1
VP^g->(@VP^g->@VP^g,,*),S^g|VP^g : 5
@VP^g->(@VP^g->VBZ,NP^g*),NP^g|QP^g : 1
NP^g->NP^g,(SBAR^g->WHNP^g|WP*,S^g|VP^g) : 3
@SQ^g->@SQ^g,(SBAR^g->WHADVP^g|WRB*,S^g) : 1
FRAG^g->(@FRAG^g->@FRAG^g,NNS*),, : 1
PP^g->IN,(NP^g->NP^g*,PP^g) : 43
VP^g->(@VP^g->@VP^g*,,),S^g|VP^g : 5
NP^g->@NP^g,(PRN^g->@PRN^g,-RRB-*) : 1
VP^g->VBD,(ADJP^g->IN*,PP^g) : 1
@S^g->@S^g,(SBAR^g->@SBAR^g,S^g|VP^g*) : 1
NP^g->NP^g,(PP^g->IN*,NP^g|NNS) : 8
SBAR^g->(@SBAR^g->IN,NN*),S^g|VP^g : 1
VP^g->VBD,(PP^g->PP^g,PP^g*) : 1
VP^g->VBZ,(SBAR^g|S^g->NP^g|PRP,VP^g*) : 1
@S^g->ADVP^g,(NP^g->@NP^g,,*) : 1
SBAR^g->IN,(S^g->@S^g*,SBAR^g) : 2
S^g->@S^g,(VP^g->@VP^g,S^g*) : 1
NP^g->(NP^g->@NP^g,NN*),NP^g : 2
PP^g->(PP^g->@PP^g*,NP^g),PP^g : 1
@NP^g->(@NP^g->CD*,CC),NNS : 1
@S^g->NP^g,(VP^g->VBP*,NP^g) : 6
@NP^g->(NP^g->JJ*,NNS),, : 7
VP^g->TO,(VP^g->@VP^g,S^g|VP^g*) : 2
VP^g->(@VP^g->@VP^g,PP^g*),SBAR^g : 3
VP^g->VBN,(SBAR^g->IN,S^g*) : 2
@NP^g->(@NP^g->@NP^g*,``),NP^g : 2
@S^g->(@S^g->@S^g,ADVP^g|RB*),S^g : 1
VP^g->(@VP^g->@VP^g*,NP^g|NNP),SBAR^g : 1
VP^g->(@VP^g->VBP*,ADVP^g|RB),VP^g : 1
@ADJP^g->(@ADJP^g->@ADJP^g*,''),CC : 2
PP^g->IN,(NP^g->PRP$*,NN) : 1
SBAR^g|S^g|VP^g->TO,(VP^g->VB,PP^g*) : 3
S^g|VP^g->@VP^g,(S^g|VP^g->VBG,NP^g|NNS*) : 1
@VP^g->(VP^g->VBN,PP^g*),, : 1
PP^g->IN,(NP^g->NP^g*,NN) : 3
@S^g->(NP^g->DT,NN*),, : 1
VP^g->VB,(VP^g->@VP^g,SBAR^g*) : 1
VP^g->(@VP^g->VBZ*,ADVP^g|RB),NP^g : 1
NP^g->@NP^g,(SBAR^g->WHNP^g|WDT,S^g|VP^g*) : 10
S^g->NP^g,(VP^g->VBZ,PP^g*) : 1
PP^g->IN,(S^g|VP^g->@VP^g*,PP^g) : 4
VP^g->VBN,(NP^g->NP^g,SBAR^g*) : 2
@NP^g->(@NP^g->NP^g*,JJ),`` : 2
@NP^g->(@NP^g->NP^g*,CD),NN : 1
@NP^g->NP^g,(VP^g->VBD*,NP^g) : 1
ADJP^g->(NP^g->CD*,NN),JJR : 1
@VP^g->(@VP^g->VBP*,S^g|VP^g),SBAR^g : 1
@ADJP^g->(ADVP^g->@ADVP^g,IN*),JJ : 1
VP^g->VBD,(VP^g->@VP^g,PP^g*) : 3
PP^g->IN,(NP^g->CD,NNS*) : 2
@ADJP^g->(ADJP^g->RBS*,JJ),CC : 1
VP^g->VBN,(VP^g->@VP^g,S^g|VP^g*) : 1
@S^g->(@S^g->ADVP^g|RB*,,),NP^g : 4
NP^g->(@NP^g->NN*,NN),NN : 2
VP^g->@VP^g,(NP^g->NP^g|NN,PP^g*) : 1
NP^g->(@NP^g->NP^g*,PP^g),SBAR^g : 2
VP^g->(@VP^g->VBN,PP^g*),S^g|VP^g : 1
NP^g->NP^g,(PP^g->IN*,NP^g|NNP) : 12
S^g->(@S^g->ADJP^g|JJ*,PP^g),SBAR^g : 1
@NP^g->(@NP^g->DT,JJ*),NNS : 2
@S^g->(@S^g->@S^g*,``),ADVP^g|RB : 1
S^g->(@S^g->@S^g*,VP^g|VBP),. : 2
NP^g->(@NP^g->NP^g,,*),NP^g : 19
NP^g->@NP^g,(PP^g->TO*,NP^g) : 1
@S^g->(@S^g->@S^g,,*),S^g|VP^g : 1
S^g->@S^g,(VP^g->VBD,PP^g*) : 1
VP^g->(@VP^g->@VP^g*,PRT^g|RP),PP^g : 1
NP^g->(@NP^g->NP^g,NN*),NN : 5
@NP^g->(NP^g->NP^g|NNS*,PP^g),CC : 1
VP^g->@VP^g,(ADJP^g->ADJP^g*,PP^g) : 1
@S^g->(@S^g->``*,NP^g),, : 1
@S^g->(@S^g->@S^g*,,),S^g|VP^g : 1
VP^g->@VP^g,(ADJP^g->JJ*,PP^g) : 3
PP^g->RB,(ADJP^g->@ADJP^g,JJ*) : 1
VP^g->(@VP^g->ADVP^g|RB*,VBP),S^g|VP^g : 1
S^g|VP^g->TO,(VP^g->@VP^g,VP^g*) : 6
@NP^g->(@NP^g->@NP^g*,NNPS),NN : 1
@NP^g->(NP^g->DT*,NN),VP^g : 1
NX^g->(@NX^g->@NX^g,NN*),NN : 1
@NP^g->(@NP^g->NP^g|NN*,,),NP^g : 1
S^g->NP^g,(VP^g->VBZ*,NP^g|NN) : 1
VP^g->VBZ,(NP^g->DT,NNS*) : 1
@S^g->(NP^g->NP^g*,SBAR^g),VP^g : 1
@VP^g->(VP^g->VBG,ADVP^g|RB*),CC : 1
SBAR^g|S^g|VP^g->TO,(VP^g->VB*,NP^g) : 4
NP^g->NP^g|NNS,(VP^g->@VP^g,NP^g*) : 1
NP^g->(NP^g->@NP^g*,NP^g|NN),PP^g : 1
@VP^g->VBD,(NP^g->CD,NNS*) : 1
SQ^g->(@SQ^g->@SQ^g,SBAR^g*),. : 2
@S^g->(@S^g->@S^g*,CC),S^g : 13
VP^g->(@VP^g->@VP^g,,*),VP^g : 1
NP^g->@NP^g,(UCP^g->@UCP^g,ADJP^g*) : 1
NP^g->(@NP^g->@NP^g*,NN),NNS : 12
@QP^g->(@QP^g->@QP^g,TO*),CD : 1
NP^g->(NP^g->DT,NNP*),PP^g : 1
VP^g->(@VP^g->VBZ,NP^g*),ADVP^g : 1
NP^g->(@NP^g->NP^g,:*),NP^g|NNP : 1
PP^g->IN,(NP^g->@NP^g*,NNPS) : 6
S^g|VP^g->VBZ,(PP^g->@PP^g*,NP^g) : 1
@S^g->@S^g,(S^g->NP^g|PRP*,VP^g) : 7
VP^g->(@VP^g->ADVP^g|RB,VBG*),PP^g : 1
SBAR^g->@SBAR^g,(SBAR^g->IN,S^g*) : 1
SINV^g->(@SINV^g->VBP,NP^g*),VP^g : 1
PP^g->TO,(NP^g->@NP^g,PRP*) : 1
SBAR^g->WHNP^g|WDT,(S^g|VP^g->VBZ,S^g|VP^g*) : 1
@S^g->(@S^g->``,S^g*),, : 6
@S^g->(@S^g->@S^g*,NP^g),VP^g|VBP : 1
VP^g->@VP^g,(NP^g->CD*,NNS) : 1
VP^g->@VP^g,(PP^g->IN*,S^g) : 1
@VP^g->(@VP^g->VBG,NP^g*),PP^g : 2
VP^g->VBP,(SBAR^g|S^g->NP^g,VP^g*) : 3
@S^g->(@S^g->@S^g*,NP^g),VP^g|VBD : 2
@NP^g->DT,(ADJP^g->ADJP^g*,PRN^g) : 1
@NP^g->(SBAR^g->WHNP^g|WP,S^g*),: : 1
S^g|VP^g->VBD,(S^g->NP^g|NNS,VP^g*) : 2
NP^g->NP^g,(ADJP^g->JJ,PP^g*) : 1
S^g->(NP^g->@NP^g,NNPS*),VP^g : 1
@S^g->@S^g,(VP^g->@VP^g,S^g|VP^g*) : 5
SINV^g->(@SINV^g->@SINV^g,PP^g*),. : 1
@S^g->@S^g,(VP^g->@VP^g*,VP^g) : 8
SBAR^g->IN,(S^g->NP^g|NN*,VP^g) : 1
NP^g->NP^g,(VP^g->VBN*,S^g|VP^g) : 1
SBAR^g|S^g->NP^g|PRP,(VP^g->VBP,NP^g*) : 1
VP^g->(@VP^g->VBZ,NP^g|PRP*),PP^g : 1
VP^g->VBP,(VP^g->VBG,NP^g*) : 1
@S^g->(@S^g->@S^g,PP^g*),, : 3
NP^g->(QP^g->IN,DT*),NN : 1
NP^g->(NP^g->@NP^g,NN*),S^g|VP^g : 1
VP^g->(@VP^g->VBN,S^g|NP^g*),PP^g : 1
VP^g->@VP^g,(VP^g->VBD*,SBAR^g) : 1
S^g->NP^g|NN,(VP^g->VBZ,VP^g|VBN*) : 1
SBAR^g->WHNP^g|WP,(S^g|VP^g->VBP*,PP^g) : 1
NP^g->(NP^g->NP^g*,NNS),PP^g : 1
PP^g->IN,(NP^g->NP^g|NN,VP^g|VBN*) : 1
S^g|VP^g->TO,(VP^g->@VP^g,ADJP^g*) : 1
@S^g->(NP^g->DT,NNS*),VP^g : 4
S^g->(NP^g->@NP^g*,NNS),VP^g : 5
@VP^g->(@VP^g->VBZ*,PP^g),, : 1
S^g->(NP^g->PRP$,NNS*),VP^g : 3
@SINV^g->(FRAG^g|ADJP^g->RB,JJ*),, : 1
VP^g->VBN,(NP^g->NNP,CD*) : 1
VP^g->(@VP^g->@VP^g*,PRT^g|RP),ADVP^g : 1
VP^g->VBD,(VP^g->@VP^g,VP^g*) : 1
PP^g->IN,(NP^g->@NP^g,VP^g*) : 2
VP^g->VB,(VP^g->VBN,S^g|VP^g*) : 4
NP^g->(@NP^g->DT,VBN*),NNS : 5
@ADJP^g->(@ADJP^g->RB*,RB),JJ : 1
@VP^g->(@VP^g->VB,NP^g*),ADVP^g : 1
NP^g->(@NP^g->NP^g*,NN),NN : 5
@NP^g->``,(ADJP^g->RB,JJ*) : 1
VP^g->VB,(VP^g->VBN*,SBAR^g) : 2
VP^g->(@VP^g->VBP,PP^g|TO*),ADVP^g|RBS : 1
S^g->(NP^g->@NP^g*,''),VP^g : 2
@S^g->(@S^g->@S^g*,NP^g|EX),VP^g : 1
S^g->NP^g,(VP^g->VBD*,NP^g) : 3
@NP^g->(@NP^g->``,NP^g*),, : 1
@S^g->@S^g,(VP^g->@VP^g*,ADJP^g) : 1
@NP^g->NP^g,(PP^g->IN*,NP^g|RB) : 1
PP^g->IN,(NP^g->@NP^g*,SBAR^g) : 10
@NP^g->(NP^g->NP^g*,PRN^g),CC : 1
@NP^g->(NP^g->NNS*,NN),, : 1
VP^g->(@VP^g->ADVP^g|RB,VB*),NP^g : 2
VP^g->(@VP^g->@VP^g,VB*),NP^g : 1
PP^g->IN,(NP^g->JJ*,JJ) : 2
@ADJP^g->(@ADJP^g->RB,RB*),JJ : 1
VP^g->(@VP^g->VBZ*,NP^g),PP^g : 2
VP^g->TO,(VP^g->@VP^g*,ADVP^g|RB) : 1
VP^g->VBN,(ADJP^g->JJ,SBAR^g*) : 1
@NP^g->@NP^g,(NP^g->NNP*,NNP) : 5
PP^g->IN,(NP^g->NP^g*,VP^g) : 5
@PRN^g->(@PRN^g->-LRB-*,``),S^g : 1
NP^g->(@NP^g->JJ*,JJ),NN : 2
ADJP^g->(@ADJP^g->@ADJP^g*,CC),JJ : 2
S^g->(NP^g->NP^g*,SBAR^g),VP^g : 1
@NP^g->(@NP^g->NNP*,NNP),NNPS : 2
@S^g->NP^g|PRP,(VP^g->VBP*,NP^g) : 1
NP^g->@NP^g,(NP^g->DT,NN*) : 1
VP^g->VB,(ADJP^g->JJ,S^g|VP^g*) : 3
@FRAG^g->NP^g,(PP^g->IN*,NP^g) : 1
VP^g->(@VP^g->VB*,NP^g),ADVP^g : 2
@S^g->(@S^g->``*,NP^g|PRP),VP^g : 2
VP^g->VBZ,(NP^g->@NP^g*,SBAR^g) : 1
@S^g->(@S^g->@S^g,NP^g|EX*),VP^g : 1
S^g|VP^g->VBG,(S^g->NP^g*,VP^g) : 2
@S^g->(@S^g->@S^g,,*),NP^g|PRP : 2
VP^g->VB,(NP^g->@NP^g,NN*) : 6
S^g|VP^g->@VP^g,(VP^g->TO,VP^g*) : 2
NP^g->(@NP^g->@NP^g*,JJ),NNS : 9
@S^g->(@S^g->@S^g,NP^g|QP^g*),VP^g : 1
@VP^g->VB,(NP^g->DT,NNS*) : 1
@S^g->(@S^g->@S^g*,,),NP^g|PRP : 2
PP^g->IN,(NP^g->NNP,CD*) : 1
NP^g->(@NP^g->@NP^g,NNS*),NNS : 3
@SINV^g->(ADJP^g->ADJP^g,PP^g*),VP^g|VBP : 1
@S^g->(SBAR^g->@SBAR^g,S^g*),, : 1
SINV^g->(@SINV^g->@SINV^g*,NP^g),. : 10
VP^g->VBP,(S^g|VP^g->TO*,VP^g) : 1
@NP^g->(@NP^g->NP^g,ADJP^g*),JJ : 1
@S^g->(SBAR^g->WHNP^g|WP*,S^g|VP^g),VP^g : 1
VP^g->@VP^g,(VP^g->@VP^g*,ADVP^g) : 1
PP^g->IN,(UCP^g->@UCP^g*,ADVP^g) : 1
NP^g->(NP^g->@NP^g,NNS*),PRN^g : 2
NP^g->(@NP^g->PRP$*,NN),S^g|VP^g : 1
PP^g->(@PP^g->ADVP^g|RBR,IN*),NP^g : 1
NP^g->(@NP^g->NNS,VBG*),NNS : 1
ADJP^g->(@ADJP^g->@ADJP^g,CC*),JJ : 2
@VP^g->(VP^g->@VP^g,PP^g*),, : 2
NP^g->(@NP^g->@NP^g*,JJ),NN : 16
NP^g->(NP^g->@NP^g,NN*),SBAR^g|S^g : 1
NP^g->(NP^g->@NP^g*,NNS),PRN^g : 2
SBAR^g->(WHPP^g->IN*,WHNP^g|WDT),S^g : 1
S^g|VP^g->TO,(VP^g->VB*,VP^g) : 4
NP^g->(@NP^g->NP^g,,*),NP^g|NN : 1
VP^g->MD,(VP^g->VB,S^g|VP^g*) : 1
NP^g->(@NP^g->@NP^g,ADJP^g*),NN : 1
S^g|VP^g->VBP,(PP^g->IN,NP^g*) : 1
@VP^g->VB,(NP^g->@NP^g*,NP^g) : 1
NP^g->(@NP^g->CD,JJR*),NN : 1
VP^g->VBD,(VP^g->@VP^g*,S^g|VP^g) : 2
@VP^g->@VP^g,(NP^g->PRP$*,NN) : 1
NP^g->(NP^g->@NP^g,NNS*),NP^g : 1
@ADJP^g->(@ADJP^g->@ADJP^g*,JJ),, : 1
@S^g->(@S^g->@S^g*,S^g|PP^g),, : 1
NP^g->(@NP^g->NP^g,TO*),NP^g|QP^g : 1
SBAR^g|S^g->NP^g,(VP^g->VBZ*,VP^g) : 2
S^g|VP^g->TO,(VP^g->@VP^g*,S^g|VP^g) : 1
@NP^g->(@NP^g->NP^g,JJ*),JJ : 3
@NP^g->(@NP^g->DT*,NNP),NN : 2
PP^g->VBG,(PP^g->TO*,NP^g) : 2
PP^g->IN,(NP^g->NNP,NNS*) : 1
NP^g->(@NP^g->NP^g,JJ*),NN : 3
@S^g->(NP^g->@NP^g*,NN),NP^g : 1
PP^g->TO,(NP^g->@NP^g,SBAR^g*) : 2
@SQ^g->(@SQ^g->MD*,NP^g|NNS),ADVP^g|RB : 1
SBAR^g->(WHPP^g->IN,WHNP^g|WDT*),S^g : 1
VP^g->VBD,(NP^g->@NP^g,NN*) : 3
UCP^g->@UCP^g,(ADJP^g->JJ*,PP^g) : 1
NP^g->(@NP^g->DT,JJS*),NN : 2
S^g->(@S^g->PP^g,,*),VP^g : 2
@S^g->@S^g,(PP^g->IN*,PP^g) : 1
@PRN^g->:,(NP^g->@NP^g,ADJP^g*) : 1
S^g|VP^g->TO,(VP^g->@VP^g,SBAR^g*) : 2
@NP^g->(NP^g->NNP,POS*),ADJP^g : 1
@VP^g->(@VP^g->VP^g,,*),'' : 1
VP^g->(@VP^g->VBD,PRT^g|RP*),NP^g : 1
@NP^g->@NP^g,(NP^g->@NP^g,NP^g|NNP*) : 1
@VP^g->(VP^g->VBZ*,ADJP^g),CC : 1
ADJP^g->JJ,(SBAR^g|S^g|VP^g->TO*,VP^g|VB) : 1
PP^g->IN,(NP^g->NP^g|NNS,SBAR^g*) : 1
VP^g->TO,(VP^g->VB*,S^g) : 1
SINV^g->(@SINV^g->@SINV^g*,S^g|VP^g),. : 1
SBAR^g->WHADVP^g,(S^g|VP^g->VBN,PP^g*) : 1
@S^g->(NP^g->@NP^g,NP^g*),VP^g : 2
VP^g->VBZ,(NP^g->NP^g,PP^g*) : 7
PP^g->IN,(NP^g->ADJP^g,NNS*) : 3
@SINV^g->@SINV^g,(S^g->NP^g|NN*,VP^g) : 1
VP^g->VBN,(PP^g->IN,NP^g*) : 24
@NP^g->(NP^g->@NP^g,NX^g|NN*),, : 1
NP^g->(@NP^g->NP^g*,ADJP^g),NNS : 1
NP^g->(NP^g->@NP^g,NN*),SBAR^g : 11
@NP^g->(@NP^g->@NP^g,ADJP^g*),, : 2
SBAR^g|S^g->NP^g|PRP,(VP^g->VBP,VP^g*) : 2
PP^g->IN,(NP^g->NP^g|JJR,PP^g*) : 1
@VP^g->VB,(NP^g->@NP^g,NNS*) : 6
VP^g->VBP,(VP^g->VBG,VP^g*) : 1
@VP^g->(@VP^g->VBG*,NP^g|PRP),ADVP^g : 1
NP^g->@NP^g,(PP^g->@PP^g,NP^g*) : 3
VP^g->VBP,(NP^g->NP^g|NN*,PP^g) : 1
@S^g->ADVP^g|RB,(PRN^g->@PRN^g,,*) : 1
@S^g->(@S^g->``,NP^g|PRP*),VP^g|VBD : 1
S^g->NP^g|NNPS,(VP^g->VBP,PP^g*) : 1
@S^g->NP^g,(VP^g->VBP*,SBAR^g|S^g) : 2
ADJP^g->(ADJP^g->@ADJP^g,JJ*),PP^g : 1
NP^g->@NP^g,(NP^g->JJ*,NN) : 2
S^g->(PP^g->IN*,NP^g|NN),PP^g : 1
NP^g->(@NP^g->RB*,DT),NN : 1
@VP^g->(@VP^g->VBD*,CC),VBD : 1
NP^g->(NP^g->JJ,NNS*),SBAR^g : 1
NP^g->NP^g|JJ,(PP^g->IN,NP^g*) : 2
PP^g->TO,(NP^g->NP^g|DT*,VP^g) : 1
@PRN^g->(@PRN^g->@PRN^g*,,),SBAR^g : 1
ADJP^g->JJ,(PP^g->IN*,NP^g) : 6
PP^g->IN,(NP^g->NP^g*,NX^g) : 1
NP^g->(@NP^g->@NP^g*,,),FW : 1
@SINV^g->(@SINV^g->ADVP^g|RB*,VP^g|VBN),VP^g : 1
VP^g->VBD,(NP^g->NP^g|NNS*,VP^g) : 1
NP^g->(@NP^g->PRP$,JJ*),NN : 8
ADVP^g->(NP^g->DT,NN*),RB : 2
@S^g->(NP^g->NP^g*,PP^g),VP^g : 12
VP^g->VBN,(S^g->NP^g*,ADVP^g|RB) : 1
PP^g->(@PP^g->PP^g*,PP^g),PP^g : 1
VP^g->VBN,(PP^g->IN*,NP^g|PRP) : 1
SBAR^g|S^g->(NP^g->NP^g*,VP^g),VP^g : 1
ADJP^g->(@ADJP^g->PRP$,CC*),PRP$ : 1
@VP^g->(@VP^g->VBZ,PP^g*),, : 1
@VP^g->(ADVP^g->RB*,RB),VBN : 1
@S^g->NP^g,(VP^g->VBD*,SBAR^g|S^g) : 11
@NP^g->(NP^g->PRP$,NN*),: : 1
NP^g->(NP^g->@NP^g,NNS*),SBAR^g|S^g : 1
@S^g->(@S^g->@S^g,,*),PP^g : 1
@SINV^g->(@SINV^g->S^g*,,),'' : 1
NP^g->@NP^g,(PP^g->@PP^g,PP^g*) : 1
VP^g->@VP^g,(ADJP^g->IN,S^g|VP^g*) : 1
@NP^g->(NP^g->PRP$,NN*),, : 1
@S^g->@S^g,(VP^g->VBD,VP^g*) : 2
NP^g->NP^g,(ADVP^g->@ADVP^g*,NP^g|NNP) : 1
@SINV^g->(@SINV^g->VBD*,NP^g|PRP),RB : 1
S^g->(@S^g->S^g,CC*),S^g : 2
@S^g->NP^g,(VP^g->VBD*,SBAR^g) : 1
S^g|VP^g->VBD,(VP^g->@VP^g,S^g|VP^g*) : 1
VP^g->(@VP^g->VBZ*,``),S^g|VP^g : 1
VP^g->VB,(NP^g->NNP*,NNS) : 2
PRN^g->(@PRN^g->-LRB-,NP^g|QP^g*),-RRB- : 1
S^g|VP^g->TO,(VP^g->VB,ADJP^g|JJ*) : 2
@NP^g->(NP^g->NN,NNS*),VP^g : 1
S^g|VP^g->@VP^g,(S^g|VP^g->TO*,VP^g) : 2
@S^g->(@S^g->CC,NP^g|EX*),VP^g : 2
@S^g->@S^g,(NP^g->@NP^g*,,) : 5
VP^g->@VP^g,(VP^g->@VP^g*,SBAR^g|S^g|VP^g) : 1
@VP^g->(@VP^g->VBD,NP^g*),PP^g : 4
VP^g->(@VP^g->@VP^g*,NP^g),S^g|VP^g : 1
@SINV^g->(@SINV^g->ADVP^g|JJR,,*),VP^g|VBZ : 1
VP^g->VBN,(SBAR^g->IN*,S^g) : 2
@NP^g->(@NP^g->@NP^g,,*),PP^g : 1
@NP^g->(@NP^g->NP^g*,JJ),NN : 2
VP^g->VB,(NP^g->NP^g|NNS,VP^g*) : 1
@NP^g->DT,(QP^g->CD*,CD) : 2
@SINV^g->(@SINV^g->@SINV^g,,*),'' : 8
S^g->NP^g,(VP^g->VBP,NP^g|NNS*) : 1
@VP^g->VB,(NP^g->NP^g*,PP^g) : 2
SBAR^g->(@SBAR^g->IN*,NN),S^g|VP^g : 1
VP^g->VBN,(S^g->@S^g,''*) : 1
@VP^g->(@VP^g->ADVP^g|RB*,VB),NP^g : 1
@NP^g->(@NP^g->@NP^g*,NN),NNS : 1
@VP^g->(@VP^g->@VP^g*,ADVP^g|RB),PP^g : 1
@FRAG^g->@FRAG^g,(PP^g->IN,NP^g*) : 1
NP^g->NP^g|NNS,(ADJP^g->JJ*,NN) : 1
NP^g->(@NP^g->DT,NN*),VBZ : 2
S^g->(@S^g->@S^g,ADVP^g|RB*),S^g|VP^g : 1
@SQ^g->@SQ^g,(VP^g->@VP^g*,SBAR^g) : 1
@S^g->@S^g,(NP^g->NP^g|NN,PP^g*) : 1
VP^g->VB,(NP^g->DT*,NNS) : 2
S^g->@S^g,(VP^g->@VP^g,VP^g*) : 1
NP^g->(NP^g->NNP*,POS),NN : 1
VP^g->VBN,(S^g|VP^g->TO*,VP^g) : 8
@S^g->(@S^g->CONJP^g,SINV^g*),PRN^g : 1
@SQ^g->@SQ^g,(SBAR^g->WHADVP^g|WRB,S^g*) : 1
VP^g->(@VP^g->@VP^g*,VBZ),NP^g : 1
SBAR^g->WHPP^g,(S^g->NP^g*,VP^g) : 2
S^g->NP^g|PRP,(VP^g->VBP,SBAR^g|S^g*) : 1
@NP^g->(@NP^g->@NP^g*,NN),NN : 6
@S^g->(@S^g->@S^g,VP^g*),. : 11
PP^g->IN,(NP^g->NP^g|CD,PP^g*) : 1
NP^g->(@NP^g->@NP^g*,PP^g),'' : 1
@QP^g->(@QP^g->RB,TO*),$ : 1
ADJP^g->(ADJP^g->NP^g,JJR*),PP^g : 1
@S^g->(@S^g->@S^g,NP^g|DT*),VP^g : 1
VP^g->VBN,(S^g|NP^g->NNP*,NNP) : 2
VP^g->(@VP^g->VBP*,ADVP^g|RB),S^g|VP^g : 1
@S^g->(SBAR^g->IN*,S^g|VP^g),, : 1
S^g->(PP^g->IN,NP^g|NN*),PP^g : 1
@VP^g->(@VP^g->VB*,NP^g),ADVP^g : 1
